City,PostalCode,Location
Kolkata,700020,A.J.C.Bose Road
Kolkata,700046,Abinash Chaowdhury Lane
Kolkata,700005,Ahritola
Kolkata,700035,Alambazar
Kolkata,700003,Amrita Bazar Partika
Kolkata,700007,Archana
Kolkata,700030,Ashokegarh
Kolkata,700014,Asylum Lane
Kolkata,700044,Badartala
Kolkata,700086,Baghajatin
Kolkata,700003,Baghbazar
Kolkata,700022,Bakery Road
Kolkata,700019,Ballygunge RS
Kolkata,700019,Ballygunge
Kolkata,700019,Ballygunge Sc College
Kolkata,700014,Bamboovila
Kolkata,700007,Barabazar
Kolkata,700036,Baranagar
Kolkata,700008,Barisha
Kolkata,700018,Bartala
Kolkata,700006,Beadon Street
Kolkata,700077,Bediapara
Kolkata,700034,Behala Municipal Market
Kolkata,700034,Behala
Kolkata,700010,Beleghata
Kolkata,700037,Belgachia Road
Kolkata,700037,Belgachia
Kolkata,700054,Bengal Chemical
Kolkata,700036,Bengal Immunity
Kolkata,700025,Bhawanipore
Kolkata,700006,Bidhan Sarani
Kolkata,700066,Bidhangarh
Kolkata,700032,Bijoygarh
Kolkata,700030,Bonhooghly
Kolkata,700042,Bosepukur Road
Kolkata,700012,Bowbazar (Kolkata)
Kolkata,700088,Brace Bridge
Kolkata,700034,Brahma Samaj Road
Kolkata,700027,Chetla
Kolkata,700073,Chittaranjan Avenue (Kolkata)
Kolkata,700017,Circus Avenue
Kolkata,700054,Cmda Abasan
Kolkata,700007,College Square (Kolkata)
Kolkata,700073,Colootola
Kolkata,700002,Cossipore Gun Factory
Kolkata,700002,Cossipore
Kolkata,700001,Council House Street
Kolkata,700001,Customs House
Kolkata,700139,Daulatpur
Kolkata,700035,Deshbandhu Road
Kolkata,700031,Dhakuria
Kolkata,700013,Dharmatala
Kolkata,700029,Dover Lane
Kolkata,700074,Dumdum Road
Kolkata,700028,Dumdum
Kolkata,700065,Durganagar
Kolkata,700107,E.K.T
Kolkata,700016,Elliot Road
Kolkata,700069,Esplanade
Kolkata,700021,Fort William
Kolkata,700047,Ganguly Bagan
Kolkata,700019,Garcha Road
Kolkata,700024,Garden Reach
Kolkata,700075,Garfa
Kolkata,700047,Garia BT
Kolkata,700019,Gariahat Market
Kolkata,700030,Ghugudanga
Kolkata,700003,Girish Avenue
Kolkata,700046,Gobinda Khatick Road
Kolkata,700020,Gokhel Road
Kolkata,700095,Golf Green
Kolkata,700019,Golpark
Kolkata,700078,Haltu
Kolkata,700082,Haridevpur
Kolkata,700022,Hastings
Kolkata,700005,Hatkhola
Kolkata,700065,Health Institute
Kolkata,700072,Hindustan Building
Kolkata,700088,Hyde Road
Kolkata,700069,Income Tax Building
Kolkata,700002,Indian Research
Kolkata,700033,Indrani Park
Kolkata,700014,Intally
Kolkata,700108,ISI PO
Kolkata,700078,Jadavgarh
Kolkata,700032,Jadavpur University
Kolkata,700061,Jairampur (Kolkata)
Kolkata,700074,Jawpore
Kolkata,700034,Jayshree Park
Kolkata,700080,Jessore Road
Kolkata,700017,Jhowtala
Kolkata,700068,Jodhpur Park
Kolkata,700010,Joramandir
Kolkata,700006,Jorasanko
Kolkata,700028,Jugipara Satganchi
Kolkata,700024,K.C.Mills
Kolkata,700085,K.G Bose Sarani
Kolkata,700020,K.M.Hospital
Kolkata,700082,K.P.Bazar (Kolkata)
Kolkata,700031,K.P.Roy Lane
Kolkata,700053,Kalabagan
Kolkata,700063,Kalagachia (Kolkata)
Kolkata,700007,Kalakar Street
Kolkata,700026,Kalighat
Kolkata,700099,Kalikapur
Kolkata,700026,Kalimandir
Kolkata,700089,Kalindi Housing Estate
Kolkata,700028,Kamalapur (Bankura)
Kolkata,700054,Kankurgachi
Kolkata,700042,Kasba (Kolkata)
Kolkata,700061,Kasthadanga
Kolkata,700052,Kendriya Vihar
Kolkata,700026,Keoratala
Kolkata,700001,Khengrapatti
Kolkata,700023,Khiddirpore
Kolkata,700052,Kolkata Airport Po
Kolkata,700052,Kolkata Airport
Kolkata,700002,Kolkata Armed Police
Kolkata,700053,Kolkata Mint
Kolkata,700073,Kolkata University
Kolkata,700001,Kolkatta G.P.O.
Kolkata,700028,Kumarpara (Bankura)
Kolkata,700036,Kuthighat Road
Kolkata,700020,L.R.Sarani
Kolkata,700045,Lake Gardens
Kolkata,700029,Lake Market
Kolkata,700001,Lalbazar (Kolkata)
Kolkata,700025,Lansdowne Market
Kolkata,700067,Lily Biscuit
Kolkata,700014,Linton Street
Kolkata,700071,Little Russel Street
Kolkata,700016,Madrassa
Kolkata,700060,Mahendra Banerjee Road
Kolkata,700080,Mall Road
Kolkata,700006,Manicktala
Kolkata,700023,Mansatala
Kolkata,700139,Memanpur Chandannagar
Kolkata,700071,Middleton Row
Kolkata,700027,Mominpur
Kolkata,700074,Motijheel (Bankura)
Kolkata,700099,Mukundapur
Kolkata,700053,N.R.Avenue
Kolkata,700028,Nagerbazar
Kolkata,700047,Naktala
Kolkata,700011,Narkeldanga
Kolkata,700027,Natioinal Library
Kolkata,700090,Netaji Colony
Kolkata,700040,Netaji Nagar (Kolkata)
Kolkata,700053,New Alipore
Kolkata,700087,New Market
Kolkata,700001,New Secretariat Bldg.
Kolkata,700090,Noapara (Bankura)
Kolkata,700037,Northern Avenue
Kolkata,700028,Ordnance Factory
Kolkata,700024,P.G.Reach
Kolkata,700002,Paikapara
Kolkata,700034,Panchanantala
Kolkata,700094,Panchasayar
Kolkata,700017,Park Circus
Kolkata,700016,Park Street
Kolkata,700060,Parnasree Pally
Kolkata,700009,Parsibagan
Kolkata,700063,Paschim Barisha
Kolkata,700041,Paschim Putiari
Kolkata,700006,Pathuriaghata
Kolkata,700032,Pgh Shah Road
Kolkata,700054,Phulbagan
Kolkata,700001,Pollock Street
Kolkata,700002,Postal Stores Depot
Kolkata,700072,Princep Street
Kolkata,700030,Purba Sinthee
Kolkata,700004,R.G.Kar Medical College
Kolkata,700026,R.K.Seva Pratisthan
Kolkata,700001,R.N. Mukherjee Road
Kolkata,700065,Rabindra Nagar (Bankura)
Kolkata,700018,Rabindra Nagar (Kolkata)
Kolkata,700001,Radha Bazar
Kolkata,700047,Raipur Jorabagan Road
Kolkata,700023,Raja J.N.Market
Kolkata,700009,Raja Ram Mohan Sarani
Kolkata,700044,Rajabagan Dock Yard
Kolkata,700028,Rajabagan
Kolkata,700054,Ram Krishna Samadhi Road
Kolkata,700025,Ramkrishna Park
Kolkata,700029,Rash Behari Avenue
Kolkata,700092,Regent Estate
Kolkata,700040,Regent Park
Kolkata,700001,Reserve Bank Building
Kolkata,700040,Russa
Kolkata,700071,Russel Street
Kolkata,700094,S.R.F.T.I.
Kolkata,700026,Sahanagar (Kolkata)
Kolkata,700038,Sahapur
Kolkata,700006,Sahitya Parisad
Kolkata,700015,Sales Tax Building
Kolkata,700012,Sankaritola
Kolkata,700075,Santoshpur Avenue
Kolkata,700075,Santoshpur
Kolkata,700029,Sarat Bose Road
Kolkata,700061,Sarsoona
Kolkata,700002,Satchasipara
Kolkata,700015,Seal Lane
Kolkata,700014,Sealdah
Kolkata,700034,Senhati
Kolkata,700030,Sethbagan
Kolkata,700017,Shakespeare Sarani
Kolkata,700004,Shyambazar Mail
Kolkata,700006,Simla
Kolkata,700050,Sinthee
Kolkata,700041,Sirity
Kolkata,700043,Sonai (Kolkata)
Kolkata,700072,Sooterkin Street
Kolkata,700043,South Eastern Railway
Kolkata,700050,South Sinhee
Kolkata,700026,Southern Market
Kolkata,700007,Strand Road
Kolkata,700065,Subhas Nagar
Kolkata,700010,Subhash Sarabor
Kolkata,700033,T.C.Road
Kolkata,700024,T.G.Road
Kolkata,700002,Tala (Bankura)
Kolkata,700014,Taltala
Kolkata,700015,Tangra
Kolkata,700088,Taratala Road
Kolkata,700088,Telecom Factory
Kolkata,700001,Telephone Bhawan
Kolkata,700063,Thakurpukur
Kolkata,700073,Tiretta Bazar
Kolkata,700033,Tollygunge
Kolkata,700001,Treasury Building
Kolkata,700067,Ultadanga Main Road
Kolkata,700004,Ultadanga
Kolkata,700007,Vaishya Sabha
Kolkata,700075,Viveknagar (Kolkata)
Kolkata,700001,W.B.Assembly House
Kolkata,700062,W.B.Governors Camp.
Kolkata,700023,Watgunge
Kolkata,700001,Writer's Building
Kolkata,700012,Yogayog Bhawan
